"Sample","WGS/WES","Source","Organism","Events","Hyper","Body Site/Study","Status","Type","AEI","REI","ADAR","ADARB1","ADARB2"
"SRR1489862","SRR8233710","G","Hs","56094","0","Cells - EBV-transformed lymphocytes","normal","B","1.302","0.281","210.134","0.394","0.324"
"SRR1489884","NA","G","Hs","44174","0","Esophagus - Gastroesophageal Junction","normal","B","1.291","8.821","57.161","30.742","0.719"
"SRR1489904","SRR8233684","G","Hs","87129","0","Skin - Sun Exposed (Lower leg)","normal","B","1.785","1.314","51.231","32.848","0.247"
"SRR1489926","SRR8233709","G","Hs","14274","0","Whole Blood","normal","B","1.018","0.365","89.498","1.438","1.027"
"SRR1489950","SRR8233747","G","Hs","13812","0","Muscle - Skeletal","normal","B","0.544","0.393","14.027","11.630","0.018"
"SRR1489971","SRR8233187","G","Hs","43940","0","Brain - Hippocampus","normal","B","2.007","1.306","22.331","3.397","8.808"
"SRR1489995","SRR8233722","G","Hs","60426","0","Lung","normal","B","1.080","2.980","81.626","55.693","2.603"
"SRR1490019","SRR8233185","G","Hs","45587","0","Brain - Cortex","normal","B","1.791","0.000","43.492","13.922","7.756"
"SRR1490037","SRR8233293","G","Hs","12965","0","Muscle - Skeletal","normal","B","0.660","0.570","5.212","2.881","0.014"
"SRR1490057","SRR8233228","G","Hs","80982","0","Adipose - Subcutaneous","normal","B","1.859","2.436","71.037","13.931","0.352"
"SRR1490076","SRR8233238","G","Hs","38749","0","Heart - Atrial Appendage","normal","B","1.715","1.229","29.992","6.738","0.110"
"SRR1490097","SRR8233201","G","Hs","50457","0","Esophagus - Gastroesophageal Junction","normal","B","1.394","9.431","73.642","87.247","0.712"
"SRR1490115","SRR8233678","G","Hs","32572","0","Whole Blood","normal","B","0.937","0.305","134.506","2.089","0.803"
"SRR1490138","SRR8233147","G","Hs","83839","0","Adipose - Visceral (Omentum)","normal","B","2.224","1.825","90.619","13.280","0.176"
"SRR1490160","SRR8233684","G","Hs","70733","0","Skin - Not Sun Exposed (Suprapubic)","normal","B","1.390","1.207","53.461","19.486","0.719"
"SRR1490178","SRR8233682","G","Hs","34224","0","Cells - Transformed fibroblasts","normal","B","1.038","0.961","94.280","121.776","0.000"
"SRR1490204","NA","G","Hs","41159","0","Artery - Tibial","normal","B","1.929","18.531","70.949","148.346","0.209"
"SRR1490228","NA","G","Hs","42203","0","Skin - Sun Exposed (Lower leg)","normal","B","1.901","1.860","55.677","18.473","0.484"
"SRR1490246","NA","G","Hs","48178","0","Breast - Mammary Tissue","normal","B","1.315","1.561","52.169","11.666","0.130"
"SRR1490270","SRR8233206","G","Hs","59436","0","Artery - Tibial","normal","B","2.446","18.083","80.453","172.041","0.375"
"SRR1490289","SRR8233731","G","Hs","12165","0","Heart - Atrial Appendage","normal","B","0.679","0.705","16.634","3.538","0.016"
"SRR1490313","SRR8233257","G","Hs","76870","0","Skin - Sun Exposed (Lower leg)","normal","B","2.069","1.800","55.832","15.616","0.122"
"SRR1490337","NA","G","Hs","72354","0","Cells - Leukemia cell line (CML)","normal","B","0.955","0.203","87.253","6.693","0.018"
"SRR1490360","SRR8233117","G","Hs","31964","0","Esophagus - Mucosa","normal","B","0.679","0.404","50.204","5.049","0.232"
"SRR1490382","SRR8233249","G","Hs","226225","0","Brain - Cerebellar Hemisphere","normal","B","2.403","2.682","99.179","68.128","3.683"
"SRR1490404","SRR8233182","G","Hs","27618","0","Pancreas","normal","B","0.717","0.392","26.209","2.571","0.438"
"SRR1490427","NA","G","Hs","35201","0","Artery - Tibial","normal","B","1.313","11.881","93.460","68.362","0.117"
"SRR1490447","SRR8233176","G","Hs","40159","0","Artery - Tibial","normal","B","1.739","16.524","66.128","162.968","0.257"
"SRR1490465","SRR8233172","G","Hs","26777","0","Brain - Nucleus accumbens (basal ganglia)","normal","B","1.832","1.127","14.552","2.125","3.836"
"SRR1490486","SRR8233230","G","Hs","77541","0","Lung","normal","B","1.358","5.619","81.296","53.626","3.138"
"SRR1490505","SRR8233226","G","Hs","54589","0","Heart - Atrial Appendage","normal","B","1.809","2.380","29.148","3.709","0.253"
"SRR1490524","SRR8233165","G","Hs","25105","0","Brain - Hippocampus","normal","B","1.581","0.673","28.093","4.694","8.535"
"SRR1490546","SRR8233736","G","Hs","67513","0","Liver","normal","B","2.378","3.139","46.002","3.206","0.099"
"SRR1490568","SRR8233128","G","Hs","124741","0","Brain - Cerebellum","normal","B","2.354","3.346","93.614","57.401","8.358"
"SRR1490589","SRR8233734","G","Hs","46398","0","Whole Blood","normal","B","0.919","0.387","99.112","2.002","0.016"
"SRR1490613","NA","G","Hs","65628","0","Brain - Hypothalamus","normal","B","1.904","1.023","23.102","3.790","3.701"
"SRR1490635","SRR8233753","G","Hs","34991","0","Colon - Sigmoid","normal","B","1.172","8.504","72.814","55.200","1.651"
"SRR1490658","SRR8233681","G","Hs","23990","0","Kidney - Cortex","normal","B","1.066","1.574","22.443","1.725","0.393"
"SRR1490700","SRR8233178","G","Hs","51442","0","Lung","normal","B","1.837","0.969","79.695","9.209","0.856"
"SRR1490721","SRR8233202","G","Hs","68748","0","Adipose - Visceral (Omentum)","normal","B","2.018","4.025","62.632","11.067","0.280"
"SRR1490740","SRR8233213","G","Hs","74331","0","Adipose - Subcutaneous","normal","B","1.781","5.212","90.295","47.818","0.172"
"SRR1490761","SRR8233633","G","Hs","37769","0","Esophagus - Muscularis","normal","B","1.254","10.716","49.085","91.490","1.110"
"SRR1490785","SRR8233245","G","Hs","34596","0","Esophagus - Mucosa","normal","B","0.951","1.653","41.574","8.225","0.913"
"SRR1491257","SRR8233161","G","Hs","37153","0","Adrenal Gland","normal","B","1.459","1.356","45.071","7.672","0.154"
"SRR1491275","NA","G","Hs","134923","0","Thyroid","normal","B","2.033","1.718","96.041","2.946","0.011"
"SRR1491293","SRR8233214","G","Hs","44172","0","Brain - Putamen (basal ganglia)","normal","B","1.817","0.929","19.696","2.903","3.176"
"SRR1491311","SRR8233249","G","Hs","56807","0","Brain - Spinal cord (cervical c-1)","normal","B","1.911","0.935","58.068","3.908","62.378"
"SRR1491332","SRR8233714","G","Hs","27710","0","Whole Blood","normal","B","1.028","0.286","106.132","1.379","1.208"
"SRR1491354","NA","G","Hs","39026","0","Esophagus - Mucosa","normal","B","0.799","0.510","45.137","5.797","0.240"
"SRR1498183","SRR8233680","G","Hs","91285","0","Skin - Sun Exposed (Lower leg)","normal","B","1.693","1.174","68.419","21.989","0.211"
"SRR1498207","NA","G","Hs","70844","0","Skin - Not Sun Exposed (Suprapubic)","normal","B","1.785","1.287","49.606","8.447","0.116"
"SRR1498226","SRR8233686","G","Hs","60985","0","Thyroid","normal","B","1.139","0.790","39.690","5.763","0.062"
"SRR1498249","SRR8233686","G","Hs","43604","0","Stomach","normal","B","1.261","4.799","60.261","37.703","1.196"
"SRR1498272","NA","G","Hs","84998","0","Brain - Anterior cingulate cortex (BA24)","normal","B","1.859","1.566","56.351","18.094","6.768"
"SRR1498290","SRR8233684","G","Hs","58054","0","Colon - Transverse","normal","B","1.495","3.965","49.463","28.449","2.519"
"SRR1498313","SRR8233234","G","Hs","6847","0","Whole Blood","normal","B","0.673","0.235","23.558","0.666","0.409"
"SRR1498337","SRR8233201","G","Hs","62683","0","Lung","normal","B","1.028","3.755","78.230","35.830","0.461"
"SRR1498354","SRR8233250","G","Hs","46714","0","Artery - Aorta","normal","B","1.362","13.086","114.480","78.507","0.174"
"SRR1498374","SRR8233268","G","Hs","46433","0","Adrenal Gland","normal","B","1.292","2.559","79.877","7.323","0.338"
"SRR1498395","SRR8233696","G","Hs","39995","0","Artery - Tibial","normal","B","1.949","15.034","78.799","123.335","0.064"
"SRR1498416","SRR8233735","G","Hs","34411","0","Breast - Mammary Tissue","normal","B","1.232","1.598","63.334","8.979","0.740"
"SRR1498438","SRR8233227","G","Hs","141324","0","Thyroid","normal","B","2.036","3.790","108.310","12.235","0.472"
"SRR1498456","SRR8233697","G","Hs","48939","0","Cells - Transformed fibroblasts","normal","B","0.977","0.323","159.644","32.711","0.009"
"SRR1498482","SRR8233158","G","Hs","19823","0","Brain - Substantia nigra","normal","B","1.439","0.872","11.081","0.903","9.786"
"SRR1498505","SRR8233676","G","Hs","85347","0","Colon - Transverse","normal","B","1.220","4.649","77.301","60.682","1.692"
"SRR1498529","NA","G","Hs","54626","0","Skin - Sun Exposed (Lower leg)","normal","B","1.773","0.986","58.210","12.997","0.095"
"SRR1498550","SRR8233267","G","Hs","52154","0","Brain - Frontal Cortex (BA9)","normal","B","1.627","0.741","43.420","2.502","6.864"
"SRR1498571","SRR8233726","G","Hs","64253","0","Esophagus - Muscularis","normal","B","2.207","12.472","124.551","79.587","0.293"
"SRR1498595","SRR8233157","G","Hs","76317","0","Adipose - Visceral (Omentum)","normal","B","2.247","1.451","53.845","10.612","0.134"
"SRR1498616","SRR8233480","G","Hs","54179","29501","Brain - Hippocampus","normal","B","1.839","1.940","35.528","10.552","12.470"
"SRR1498640","SRR8233185","G","Hs","38971","0","Brain - Amygdala","normal","B","1.904","1.510","39.044","8.024","12.202"
"SRR1498661","NA","G","Hs","41008","0","Colon - Transverse","normal","B","0.813","0.468","40.313","2.580","0.081"
"SRR1498682","SRR8233700","G","Hs","30006","0","Cells - Transformed fibroblasts","normal","B","0.879","0.381","89.743","30.993","0.000"
"SRR1498702","SRR8233740","G","Hs","147801","0","Brain - Cerebellar Hemisphere","normal","B","2.222","2.080","75.903","41.765","3.104"
"SRR1498726","SRR8233200","G","Hs","60939","0","Uterus","normal","B","1.331","1.690","103.957","34.755","3.318"
"SRR1498747","SRR8233255","G","Hs","135140","0","Uterus","normal","B","2.066","0.000","151.771","25.402","2.333"
"SRR1498765","SRR8233298","G","Hs","52796","0","Nerve - Tibial","normal","B","1.804","2.572","65.466","11.409","8.190"
"SRR1498789","SRR8233482","G","Hs","30059","0","Whole Blood","normal","B","2.302","1.441","41.444","1.490","0.585"
"SRR1498813","SRR8233677","G","Hs","50547","0","Lung","normal","B","1.254","2.349","80.903","25.278","0.168"
"SRR1498838","NA","G","Hs","64675","0","Adipose - Subcutaneous","normal","B","1.263","1.164","53.194","9.359","0.496"
"SRR1498861","SRR8233752","G","Hs","59193","0","Brain - Cortex","normal","B","2.048","7.018","53.364","17.511","7.868"
"SRR1498885","SRR8233690","G","Hs","51399","0","Artery - Tibial","normal","B","2.283","15.063","84.582","127.240","0.047"
"SRR1498909","SRR8233161","G","Hs","60545","0","Skin - Sun Exposed (Lower leg)","normal","B","1.637","2.699","59.499","18.471","0.082"
"SRR1498931","SRR8233667","G","Hs","54650","41085","Adipose - Subcutaneous","normal","B","1.860","7.486","71.642","41.059","0.254"
"SRR1498951","SRR8233741","G","Hs","60911","0","Breast - Mammary Tissue","normal","B","2.548","2.773","70.946","16.769","0.725"
"SRR1498973","NA","G","Hs","55540","0","Esophagus - Muscularis","normal","B","1.499","9.819","72.798","87.680","0.582"
"SRR1498997","NA","G","Hs","111020","0","Breast - Mammary Tissue","normal","B","1.893","1.051","82.869","11.367","0.143"
"SRR1499019","SRR8233211","G","Hs","50256","0","Esophagus - Mucosa","normal","B","1.543","2.247","51.457","5.585","0.528"
"SRR1499040","SRR8233273","G","Hs","41638","0","Liver","normal","B","1.925","1.092","16.658","1.925","0.054"
