Comparison,p_adjusted,Significance
TGCT_vs_ESCA,8.644320483715178e-25,***
TGCT_vs_PAAD,0.15348788785797132,ns
TGCT_vs_KIRP,6.704076938790801e-10,***
TGCT_vs_LIHC,8.551998303206925e-29,***
TGCT_vs_CESC,2.07891458209858e-06,***
TGCT_vs_SARC,0.007389525203402358,**
TGCT_vs_BRCA,4.132612713563015e-11,***
TGCT_vs_THYM,0.015245852885784315,*
TGCT_vs_MESO,0.08839431029698053,ns
TGCT_vs_COAD,6.078705432280149e-19,***
TGCT_vs_STAD,2.8782837357680905e-18,***
TGCT_vs_CHOL,0.0014016126741688128,**
TGCT_vs_KIRC,0.5349485929643235,ns
TGCT_vs_THCA,2.557986773386909e-12,***
TGCT_vs_HNSC,6.11732904708755e-08,***
TGCT_vs_READ,1.814185169957899e-16,***
TGCT_vs_SKCM,0.00017281351583859416,***
TGCT_vs_LGG,2.0365956747271305e-05,***
TGCT_vs_DLBC,1.7025069829593764e-07,***
TGCT_vs_KICH,4.1430067847675917e-16,***
TGCT_vs_UCS,0.43897114018531563,ns
TGCT_vs_ACC,0.30526515021086886,ns
TGCT_vs_PCPG,1.2224882069735237e-14,***
TGCT_vs_UVM,9.603738770674133e-16,***
ESCA_vs_PAAD,2.5036720345203073e-31,***
ESCA_vs_KIRP,9.909562918328808e-50,***
ESCA_vs_LIHC,9.737635497134698e-05,***
ESCA_vs_CESC,3.995025973434864e-45,***
ESCA_vs_SARC,3.1007504610035386e-22,***
ESCA_vs_BRCA,1.086610404074156e-23,***
ESCA_vs_THYM,1.0240507632642695e-25,***
ESCA_vs_MESO,1.271847213412235e-14,***
ESCA_vs_COAD,4.266386939912378e-53,***
ESCA_vs_STAD,0.000604799079099007,***
ESCA_vs_CHOL,6.550754782232325e-05,***
ESCA_vs_KIRC,8.292036564790301e-40,***
ESCA_vs_THCA,1.8682279127851214e-18,***
ESCA_vs_HNSC,9.498973022119186e-53,***
ESCA_vs_READ,1.0722220471231618e-33,***
ESCA_vs_SKCM,1.135100097409093e-26,***
ESCA_vs_LGG,4.994360887121667e-31,***
ESCA_vs_DLBC,6.755820419566818e-20,***
ESCA_vs_KICH,6.757512596018078e-28,***
ESCA_vs_UCS,1.9055076335147107e-12,***
ESCA_vs_ACC,2.1210176974542548e-17,***
ESCA_vs_PCPG,1.8540245331299485e-09,***
ESCA_vs_UVM,7.812258821338284e-32,***
PAAD_vs_KIRP,1.1565247651634348e-07,***
PAAD_vs_LIHC,1.055238636546861e-40,***
PAAD_vs_CESC,0.000189717302594314,***
PAAD_vs_SARC,6.834726116837836e-06,***
PAAD_vs_BRCA,2.4211272961868492e-21,***
PAAD_vs_THYM,0.17321294419160904,ns
PAAD_vs_MESO,0.001385610222248799,**
PAAD_vs_COAD,2.5489826559978612e-17,***
PAAD_vs_STAD,3.48661788000873e-25,***
PAAD_vs_CHOL,3.5692099445599524e-05,***
PAAD_vs_KIRC,0.004659285433764627,**
PAAD_vs_THCA,8.86340439292942e-22,***
PAAD_vs_HNSC,1.123145786165935e-05,***
PAAD_vs_READ,7.704635811736382e-16,***
PAAD_vs_SKCM,0.004171020000130994,**
PAAD_vs_LGG,8.736105513431043e-13,***
