MutationType	0	1	2	3	4
394.00000000	0.00350669	0.00195225	0.00128739	0.00746535	0.00625120
204.00000000	0.00011487	0.00112764	0.00016537	0.00474264	0.00018684
1373.00000000	0.00851165	0.00138629	0.00199709	0.00267832	0.00105556
265.00000000	0.00006530	0.00006680	0.00003830	0.00099711	0.00088429
0.00000000	0.00003140	0.00050067	0.00013127	0.00021439	0.00043946
0.00000000	0.00001780	0.00009580	0.00016485	0.00021064	0.00006990
0.00000000	0.00005160	0.00015831	0.00023514	0.00046467	0.00140337
0.00000000	0.00015384	0.00007120	0.00054470	0.00052689	0.00151971
0.00000000	0.00014647	0.00022370	0.00014449	0.00030063	0.00005340
0.00000000	0.00006960	0.00118109	0.00073653	0.00061715	0.00068926
0.00000000	0.00002590	0.00000304	0.00002140	0.00014374	0.00001240
0.00000000	0.00007230	0.00001500	0.00026784	0.00019737	0.00012074
0.00000000	0.00004180	0.00018627	0.00008640	0.00025081	0.00291229
0.00000000	0.00015482	0.00013964	0.00019284	0.00369587	0.00025349
0.00000000	0.00002280	0.00006300	0.00020319	0.00017726	0.00002350
0.00000000	0.00003380	0.00001310	0.00005520	0.00003700	0.00007060
0.00000000	0.00018948	0.00024894	0.00051775	0.00826651	0.00025356
0.00000000	0.00304214	0.00519318	0.00719361	0.00293177	0.00531898
0.00000000	0.00036086	0.00416482	0.00215383	0.00558207	0.00070592
0.00000000	0.00754392	0.01075390	0.01935040	0.00707600	0.00314325
0.00000000	0.00164166	0.00456019	0.01280993	0.02567820	0.00108032
0.00000000	0.00636525	0.00419589	0.03204446	0.15623687	0.00205778
0.00000000	0.00184643	0.00461041	0.02430432	0.04238045	0.00261226
0.00000000	0.00061549	0.00151874	0.00053347	0.00750934	0.00068689
0.00000000	0.00016307	0.00052513	0.00059285	0.00025868	0.00099965
0.00000000	0.00020295	0.00027198	0.00113229	0.00091012	0.00031580
0.00000000	0.00011550	0.00066627	0.00075414	0.00006640	0.00004560
0.00000000	0.00015469	0.00072646	0.00018973	0.00055060	0.00002810
0.00000000	0.00022705	0.00195636	0.00269581	0.00058846	0.08296492
0.00000000	0.00026086	0.00261043	0.00039697	0.00178780	0.05327662
0.00000000	0.00038095	0.00044829	0.00034125	0.00023003	0.00344275
0.00000000	0.00042387	0.00048734	0.00111123	0.00543471	0.04774109
0.00000000	0.00001870	0.00002140	0.00014274	0.00024910	0.00012811
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00020541	0.00025301	0.00015443	0.00085746	0.00005870
0.00000000	0.00003530	0.00002990	0.00010080	0.00001590	0.00001090
0.00000000	0.00179935	0.00440419	0.00149283	0.02438807	0.00028432
0.00000000	0.00662874	0.00511201	0.11845918	0.00134104	0.00561654
0.00000000	0.00037299	0.00355663	0.00139601	0.00551053	0.00180854
0.00000000	0.00099820	0.00154723	0.00034626	0.00788310	0.00100343
0.00000000	0.00019127	0.00002400	0.00010763	0.00078878	0.00004750
0.00000000	0.00088324	0.00080797	0.01329146	0.00606857	0.00158537
0.00000000	0.00020513	0.00002210	0.00046754	0.00038412	0.00093416
0.00000000	0.00001440	0.00002760	0.00011502	0.00021819	0.00029217
0.00000000	0.00004190	0.00003590	0.00011315	0.00056783	0.00003450
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00001440	0.00049173	0.00001570	0.00000283	0.00000132
0.00000000	0.00014463	0.00007580	0.00046327	0.00026053	0.00004670
2178.00000000	0.04634284	0.00262736	0.00192961	0.00977348	0.00126353
2403.00000000	0.06486876	0.00897833	0.01866852	0.01184527	0.02511718
4179.00000000	0.22724887	0.00816453	0.05023747	0.00420351	0.00760941
1065.00000000	0.06471056	0.00790938	0.04635298	0.03335699	0.01902136
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.00000000	0.00000802	0.00003980	0.00006210	0.00001570	0.00060261
0.00000000	0.00003820	0.00002630	0.00011281	0.00023773	0.00003390
0.00000000	0.00006740	0.00043112	0.00018292	0.00057180	0.00017620
0.00000000	0.00001590	0.00004930	0.00005730	0.00012203	0.00001850
0.00000000	0.00002540	0.00012487	0.00024066	0.00037371	0.00002870
0.00000000	0.00002320	0.00006440	0.00013076	0.00000913	0.00001700
0.00000000	0.00003020	0.00014180	0.00009780	0.00043851	0.00021096
0.00000000	0.00031232	0.00243939	0.00149238	0.00086365	0.00075506
0.00000000	0.00016076	0.00088707	0.00090808	0.00085346	0.00141034
0.00000000	0.00003150	0.00126159	0.00022328	0.00003830	0.00057813
0.00000000	0.00017969	0.00106673	0.00210954	0.00118821	0.00085164
0.00000000	0.00085804	0.15674139	0.00628190	0.00307376	0.00283242
0.00000000	0.00083152	0.02227251	0.00616815	0.00104323	0.00190200
0.00000000	0.00207168	0.45456360	0.00634189	0.00331604	0.00362848
0.00000000	0.00087261	0.02844217	0.00660529	0.00469178	0.00151883
0.00000000	0.00051206	0.00334322	0.00206288	0.00691213	0.00085408
0.00000000	0.00772538	0.00825354	0.02832437	0.08105224	0.00461823
0.00000000	0.00144783	0.00102325	0.00834960	0.02601531	0.00394863
0.00000000	0.00019764	0.00108158	0.00192927	0.00170292	0.00062182
0.00000000	0.00015843	0.00058362	0.00203150	0.00074973	0.00026806
0.00000000	0.00006410	0.00013073	0.00018346	0.00242355	0.00070216
0.00000000	0.00020760	0.00211820	0.00166082	0.00043486	0.00068342
0.00000000	0.00002290	0.00014165	0.00016051	0.00008370	0.00151041
0.00000000	0.00016792	0.00149756	0.00201431	0.00027712	0.05008397
0.00000000	0.00223709	0.00057206	0.00178928	0.00145003	0.01825337
0.00000000	0.00036379	0.00055559	0.00062647	0.00051441	0.02248655
0.00000000	0.00035764	0.00054202	0.00022966	0.00030177	0.05813315
0.00000000	0.00001050	0.00013897	0.00011669	0.00002510	0.00000956
0.00000000	0.00002440	0.00006580	0.00012909	0.00000633	0.00001840
0.00000000	0.00005920	0.00005680	0.00004090	0.00096118	0.00009770
0.00000000	0.00033094	0.00007070	0.00021187	0.00100406	0.00004070
0.00000000	0.00033358	0.00147030	0.00034583	0.00682814	0.00097922
0.00000000	0.00137691	0.00341568	0.01314882	0.00288319	0.00291376
0.00000000	0.00085963	0.00100598	0.01193841	0.01068374	0.00215056
0.00000000	0.00037815	0.00004660	0.00033735	0.00189514	0.00232815
0.00000000	0.00011612	0.00024882	0.00007470	0.00072492	0.00002890
0.00000000	0.00013238	0.00010287	0.00013834	0.00171937	0.00003410
0.00000000	0.00003310	0.00000355	0.00007600	0.00001410	0.00021391
