Sample Names	MutationType	0	1	2	3	4
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	2002.0	1.0	0.0	0.0	0.0	0.0
CHOL	1325.0	1.0	0.0	0.0	0.0	0.0
CHOL	3314.0	1.0	0.0	0.0	0.0	0.0
CHOL	2307.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0					
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0					
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0					
CHOL	1898.0	1.0	0.0	0.0	0.0	0.0
CHOL	2491.0	1.0	0.0	0.0	0.0	0.0
CHOL	5150.0	1.0	0.0	0.0	0.0	0.0
CHOL	971.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0					
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
CHOL	0.0	1.0	0.0	0.0	0.0	0.0
